player_name,win,sets,ace,df,svpt,first_in,first_won,second_in,second_won,matches_played,win_pct,first_won_pct,second_in_won_pct,second_won_pct,aces_set,df_set,aces_match,df_match
Berfu Cengiz,2,9,3,17,228,140,87,71,37,5,0.4,0.6214285714285714,0.5211267605633803,0.42045454545454547,0.3333333333333333,1.8888888888888888,0.6,3.4
Bernarda Pera,46,266,330,562,8391,5085,3264,2744,1492,111,0.4144144144144144,0.6418879056047198,0.543731778425656,0.4513006654567453,1.2406015037593985,2.112781954887218,2.972972972972973,5.063063063063063
Bethanie Mattek Sands,4,39,40,37,1302,769,476,496,242,17,0.23529411764705882,0.6189856957087126,0.4879032258064516,0.4540337711069418,1.0256410256410255,0.9487179487179487,2.3529411764705883,2.176470588235294
Bianca Andreescu,61,209,220,289,6252,3966,2588,1997,1108,88,0.6931818181818182,0.6525466464952093,0.5548322483725588,0.4846894138232721,1.0526315789473684,1.3827751196172249,2.5,3.284090909090909
Bianca Turati,1,4,0,10,110,75,40,25,9,2,0.5,0.5333333333333333,0.36,0.2571428571428571,0,2.5,0,5
Bibiane Schoofs,3,28,12,63,846,555,289,228,113,14,0.21428571428571427,0.5207207207207207,0.4956140350877193,0.38831615120274915,0.42857142857142855,2.25,0.8571428571428571,4.5
Bojana Jovanovski,0,2,3,4,68,43,21,21,9,1,0,0.4883720930232558,0.42857142857142855,0.36,1.5,2,3,4
Bolor Enkhbayar,0,2,0,2,37,24,8,11,1,1,0,0.3333333333333333,0.09090909090909091,0.07692307692307693,0,1,0,2
Breana Stampfli,5,12,2,24,220,137,81,59,40,6,0.8333333333333334,0.5912408759124088,0.6779661016949152,0.4819277108433735,0.16666666666666666,2,0.3333333333333333,4
Brenda Fruhvirtova,0,2,0,3,48,36,19,9,4,1,0,0.5277777777777778,0.4444444444444444,0.3333333333333333,0,1.5,0,3
Briana Szabo,0,2,0,1,55,31,16,23,7,1,0,0.5161290322580645,0.30434782608695654,0.2916666666666667,0,0.5,0,1
Cagla Buyukakcay,4,37,2,38,1172,854,468,280,130,16,0.25,0.5480093676814989,0.4642857142857143,0.4088050314465409,0.05405405405405406,1.027027027027027,0.125,2.375
Caijsa Wilda Hennemann,3,10,0,8,266,192,107,66,34,5,0.6,0.5572916666666666,0.5151515151515151,0.4594594594594595,0,0.8,0,1.6
Camila Giorgi,85,355,466,853,9890,5592,3670,3445,2035,153,0.5555555555555556,0.6562947067238912,0.590711175616836,0.47347603536528615,1.3126760563380282,2.4028169014084506,3.045751633986928,5.57516339869281
Camila Osorio,36,133,72,284,4176,2693,1649,1199,622,59,0.6101694915254238,0.6123282584478277,0.5187656380316931,0.4194200944032367,0.5413533834586466,2.1353383458646618,1.2203389830508475,4.813559322033898
Camila Romero,3,6,4,9,168,97,76,62,29,3,1,0.7835051546391752,0.46774193548387094,0.4084507042253521,0.6666666666666666,1.5,1.3333333333333333,3
Camila Soares,0,2,1,4,49,30,15,15,5,1,0,0.5,0.3333333333333333,0.2631578947368421,0.5,2,1,4
Camilla Rosatello,0,5,0,10,155,83,41,62,31,2,0,0.4939759036144578,0.5,0.4305555555555556,0,2,0,5
Carina Witthoeft,5,52,58,139,1743,1158,729,446,236,23,0.21739130434782608,0.6295336787564767,0.5291479820627802,0.40341880341880343,1.1153846153846154,2.673076923076923,2.5217391304347827,6.043478260869565
Carla Suarez Navarro,52,225,115,152,6413,4146,2584,2115,1061,99,0.5252525252525253,0.623251326579836,0.5016548463356973,0.46801940891045435,0.5111111111111111,0.6755555555555556,1.1616161616161615,1.5353535353535352
Carlista Mohammed,0,4,0,12,118,74,40,32,10,2,0,0.5405405405405406,0.3125,0.22727272727272727,0,3,0,6
Carol Young Suh Lee,2,6,5,7,98,50,32,41,26,3,0.6666666666666666,0.64,0.6341463414634146,0.5416666666666666,0.8333333333333334,1.1666666666666667,1.6666666666666667,2.3333333333333335
Carol Zhao,0,17,6,35,470,286,170,149,69,7,0,0.5944055944055944,0.46308724832214765,0.375,0.35294117647058826,2.0588235294117645,0.8571428571428571,5
Carole Monnet,0,4,0,5,72,45,28,22,13,2,0,0.6222222222222222,0.5909090909090909,0.48148148148148145,0,1.25,0,2.5
Carolina Alves,7,19,12,15,567,400,255,152,85,9,0.7777777777777778,0.6375,0.5592105263157895,0.5089820359281437,0.631578947368421,0.7894736842105263,1.3333333333333333,1.6666666666666667
Caroline Dolehide,7,67,81,134,2004,1267,796,603,331,28,0.25,0.6282557221783741,0.548922056384743,0.4491180461329715,1.208955223880597,2,2.892857142857143,4.785714285714286
Caroline Garcia,106,463,769,485,14026,9105,5860,4436,2460,199,0.5326633165829145,0.6436024162548051,0.5545536519386834,0.4998983946352367,1.6609071274298055,1.0475161987041037,3.864321608040201,2.437185929648241
